"動作区分/Behavior Type","フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields"
"Metric","CONVERSION_OLD","コンバージョン数（旧）","Conversions (old)","totalConversionsOld","LONG",
"Metric","CONVERSION_RATE_OLD","コンバージョン率（旧）","Conversion Rate (old)","totalConversionRateOld","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","CPA_OLD","コスト/コンバージョン数（旧）","Cost per Conversions (old)","costTotalConversionsOld","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","AVG_DELIVER_RANK","平均掲載順位","Avg. Position","averagePosition","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","REVENUE_OLD","合計売上金額（旧）","Revenue (old)","totalRevenueOld","LONG",
"Metric","REVENUE_CONVERSION_OLD","売上/コンバージョン数（旧）","Revenue per Conversions (old)","revenueTotalConversionOld","DOUBLE",
"Metric","AUTO_VIDEO_PLAYS","動画の自動再生数","Auto Video Plays","autoVideoPlays","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","CLICK_VIDEO_PLAYS","クリックによる動画再生数","Click Video Plays","clickVideoPlays","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWED_RATE","動画の再生率","Video Viewed Rate","videoViewedRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","AVG_CPV","平均CPV","Average CPV","avgCpv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_PLAYS","動画が再生開始された回数","Video Plays","videoPlays","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS_TO_25","動画が25%まで再生された回数","Video Views to 25%","videoViewsTo25","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS_TO_50","動画が50%まで再生された回数","Video Views to 50%","videoViewsTo50","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS_TO_75","動画が75%まで再生された回数","Video Views to 75%","videoViewsTo75","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS_TO_95","動画が95%まで再生された回数","Video Views to 95%","videoViewsTo95","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS_TO_100","動画が100%まで再生された回数","Video Views to 100%","videoViewsTo100","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","AVG_PERCENT_VIDEO_VIEWED","動画の平均再生率","Average % of Video Viewed","avgPercentVideoViewed","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","AVG_DURATION_VIDEO_VIEWED","動画の平均再生時間（秒）","Average Duration of Video Viewed","avgDurationVideoViewed","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS","動画再生数","Video Views","videoViews","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","PAID_VIDEO_VIEWS","課金が発生した動画再生数","Paid Video Views","paidVideoViews","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","PAID_VIDEO_VIEW_RATE","課金が発生した動画再生率","Paid Video View Rate","paidVideoViewRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","VIDEO_VIEWS_TO_3_SEC","動画が3秒以上再生された回数","3-second Video Views","videoViewsTo3sec","LONG","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",
"Metric","CONV_RATE","コンバージョン率","Conversion Rate","convRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","COST_PER_CONV","コスト/コンバージョン数","Cost per Conversions","costPerConv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","REVENUE","合計売上金額","Revenue","revenue","LONG",
"Metric","REVENUE_PER_CONV","売上/コンバージョン数","Revenue per Conversions","revenuePerConv","DOUBLE",
"Metric","CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","LONG",
"Metric","VALUE_PER_CONV","価値/コンバージョン数","Value per Conv.","valuePerConv","DOUBLE",
"Metric","CONV_VALUE_OLD","コンバージョンの価値（旧）","Conv. Value (old)","convValueOld","LONG",
"Metric","VALUE_PER_CONV_OLD","価値/コンバージョン数（旧）","Value Per Conv. (old)","valuePerConvOld","DOUBLE",
"Metric","ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","LONG",
"Metric","ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","[CONVERSION_CATEGORY, CONVERSION_LABEL]"
"Metric","ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","LONG",
"Metric","VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE",
